"","x"
"1","Silver Lake -1 SID: 14525 Lake Assessment 2014"
"2","Silver Lake -3 SID: 14527 Lake Assessment 2014"
"3","Silver Lake -4 SID: 14528 Lake Assessment 2014"
"4","Mashapaug Lake SID: 15085 Lake Assessment 2014"
"5","Pachaug Pond SID: 15631 Lake Assessment 2014"
"6","Squantz Pond SID: 15870 Lake Assessment 2016"
"7","East Twin Lake (Washining) SID: 16007 Lake Assessment 2016"
"8","Gardner Lake SID: 16008 Lake Assessment 2014"
"9","Gardner Lake SID: 16008 Lake Assessment 2015"
"10","Tyler Lake SID: 16011 Lake Assessment 2016"
"11","Halls Pond  SID: 16150 Lake Assessment 2014"
"12","Wononscopomuc Lake SID: 16154 Lake Assessment 2016"
"13","Winchester Lake SID: 16156 Lake Assessment 2016"
"14","Roseland Lake SID: 16184 Lake Assessment 2014"
"15","Hatch Pond SID: 16349 Lake Assessment 2016"
"16","Ball Pond SID: 18148 Lake Assessment 2016"
"17","Bashan Lake SID: 18149 Lake Assessment 2014"
"18","Crystal Lake SID: 18154 Lake Assessment 2014"
"19","Columbia Lake SID: 18201 Lake Assessment 2014"
"20","Quinebaug Lake (Wauregan Reservoir)  SID: 18202 Lake Assessment 2014"
"21","Alexander Lake -1 SID: 18676 Lake Assessment 2014"
"22","Alexander Lake -2 SID: 18677 Lake Assessment 2014"
"23","Lake Waramaug -1 SID: 18947 Lake Assessment 2016"
"24","Park Pond SID: 18949 Lake Assessment 2016"
"25","West Side Pond SID: 19028 Lake Assessment 2016"
