"","STA_SEQ","Year","Lake","YLat","XLong","Chlorophyll.a","Secchi","Phosphorus","Nitrogen","TPCAT","NCAT","CCAT","SCAT","TAvg","Trophic"
"1",14525,2014,"Silver Lake -1",41.5857,-72.7693,19.8,0.69,0.046,0.967,5,5,5,6,5.25,"Eutrophic"
"2",14527,2014,"Silver Lake -3",41.5808,-72.7723,34.5,0.46,0.043,0.868,5,5,6,6,5.5,"Eutrophic"
"3",14528,2014,"Silver Lake -4",41.5788,-72.7752,43.1,0.46,0.0405,0.9185,5,5,6,6,5.5,"Eutrophic"
"4",15085,2014,"Mashapaug Lake",42.0143,-72.132,0.7,6.32,0.0065,0.0795,1,1,1,1,1,"Oligotrophic"
"5",15631,2014,"Pachaug Pond",41.5816,-71.9266,2.3,2.54,0.017,0.2975,3,2,2,4,2.75,"Early Mesotrophic"
"6",15870,2016,"Squantz Pond",41.5115,-73.4728,2.3,4.78,0.013,0.258,2,2,2,2,2,"Oligotrophic"
"7",16007,2016,"East Twin Lake (Washining)",42.0253,-73.3829,1.3,5.44,0.0115,0.283,2,2,1,2,1.75,"Oligotrophic"
"8",16008,2014,"Gardner Lake",41.5075,-72.222,2.5,2.51,0.016,0.2635,3,2,2,4,2.75,"Early Mesotrophic"
"9",16008,2015,"Gardner Lake",41.5075,-72.222,2.1,4.01,0.018,0.257,3,2,2,2,2.25,"Early Mesotrophic"
"10",16011,2016,"Tyler Lake",41.8374,-73.2606,7.9,2.59,0.0135,0.427,2,3,3,4,3,"Early Mesotrophic"
"11",16150,2014,"Halls Pond ",41.843286,-72.108528,4.1,2.54,0.0155,0.2555,3,2,2,4,2.75,"Early Mesotrophic"
"12",16154,2016,"Wononscopomuc Lake",41.9553,-73.4448,0.9,6.93,0.0135,0.3005,2,3,1,1,1.75,"Oligotrophic"
"13",16156,2016,"Winchester Lake",41.911243,-73.1518,3.1,3.76,0.0085,0.2,1,1,2,3,1.75,"Oligotrophic"
"14",16184,2014,"Roseland Lake",41.95,-71.951,6,1.88,0.035,0.51,5,4,3,5,4.25,"Late Mesotrophic"
"15",16349,2016,"Hatch Pond",41.6835,-73.4777,12.4,1.47,0.031,0.5725,5,4,4,5,4.5,"Late Mesotrophic"
"16",18148,2016,"Ball Pond",41.462953,-73.523721,3.2,3.81,0.02,0.4685,3,3,2,3,2.75,"Early Mesotrophic"
"17",18149,2014,"Bashan Lake",41.490909,-72.411045,1.5,4.85,0.0075,0.163,1,1,1,2,1.25,"Oligotrophic"
"18",18154,2014,"Crystal Lake",41.935883,-72.372335,1.8,5.51,0.0085,0.233,1,2,1,2,1.5,"Oligotrophic"
"19",18201,2014,"Columbia Lake",41.711559,-72.330422,4.6,3.61,0.012,0.2575,2,2,2,3,2.25,"Early Mesotrophic"
"20",18202,2014,"Quinebaug Lake (Wauregan Reservoir) ",41.775056,-71.888179,1,5.61,0.0105,0.1925,2,1,1,2,1.5,"Oligotrophic"
"21",18650,2015,"Mount Tom Pond -1",41.70075,-73.2777,4.8,2.84,0.0185,0.2935,3,2,2,4,2.75,"Early Mesotrophic"
"22",18676,2014,"Alexander Lake -1",41.86169,-71.89953,1.7,5.11,0.011,0.2705,2,2,1,2,1.75,"Oligotrophic"
"23",18677,2014,"Alexander Lake -2",41.854686,-71.907175,1.9,5.18,0.01,0.249,1,2,1,2,1.5,"Oligotrophic"
"24",18947,2016,"Lake Waramaug -1",41.69186,-73.34863,2.7,3.2,0.0185,0.6835,3,5,2,3,3.25,"Mesotrophic"
"25",18948,2015,"Stillwater Pond",41.83487,-73.14888,2.1,3.76,0.013,0.2335,2,2,2,3,2.25,"Early Mesotrophic"
"26",18949,2016,"Park Pond",41.89215,-73.1461,2.4,4.42,0.011,0.226,2,2,2,2,2,"Oligotrophic"
"27",18953,2015,"Terramuggus Lake",41.63612,-72.46783,2.5,4.06,0.0125,0.261,2,2,2,2,2,"Oligotrophic"
"28",18954,2015,"Red Cedar Lake",41.55946,-72.22971,3.6,2.64,0.0165,0.3825,3,3,2,4,3,"Early Mesotrophic"
"29",19028,2016,"West Side Pond",41.85516,-73.25655,1.3,5.03,0.009,0.255,1,2,1,2,1.5,"Oligotrophic"
