Station_Name,GNIS_ID,AWQ_ID,Report_Count,Citation_List,Launch_Type,Proximity_Landmark,Municipality_Name,YLat,XLong
Alexander Lake,00205058,18676,4,"1,2,3,4",NA,AL-1: Deepest Part of Lake-North,KILLINGLY,41.86169,-71.89953
Ball Pond,00205234,18148,3,"1,2,4",State of CT - Trailered,Deepest Point In Lake,NEW FAIRFIELD,41.462953,-73.523721
Bantam Lake (Litchfield/Morris),00205246,18950,3,"1,2,4",State of CT - Trailered,BL-1 at deepest part of lake,MORRIS,41.69983,-73.22082
Bashan Lake,00205292,18149,3,"1,2,4",State of CT - Trailered,BL-1: Deepest Point In Lake,EAST HADDAM,41.490909,-72.411045
Black Pond,,18150,3,"1,2,4",State of CT - Trailered,Deepest Point In Lake,MIDDLEFIELD,41.524516,-72.743136
Candlewood Lake,,14603,3,"1,2,4",State of CT - Trailered,from entire lake,NEW FAIRFIELD,41.4641,-73.4424
Coventry (Wangumbaug) Lake,,18153,3,"1,2,4",State of CT - Trailered,Deepest Point in Lake,COVENTRY,41.770584,-72.321969
Crystal Lake,00206553,18154,3,"1,2,4",State of CT - Trailered,CL-1: Deepest Point In Lake,ELLINGTON,41.935883,-72.372335
East Twin Lake (Washinee Lake),00211846,16007,4,"1,2,3,4",State of CT - Car Top/Carry-In,at deepest area,SALISBURY,42.0253,-73.3829
Gardner Lake,00207253,16008,4,"1,2,3,4",State of CT - Trailered,GL-1: 300 ft north Minnie Island State Park (deep hole),MONTVILLE,41.5075,-72.222
Highland Lake,00207823,18156,4,"1,2,4,5",State of CT - Trailered,HL-1: Deepest Point In Lake,WINCHESTER,41.911818,-73.09428
Lake Beseck,00205459,15706,4,"1,2,3,4",State of CT - Trailered,at Mid lake adjacent to boat ramp,MIDDLEFIELD,41.5168,-72.73
Lake Hayward,,15626,4,"1,2,3,4",State of CT - Trailered,at deepest part of lake,EAST HADDAM,41.521,-72.3297
Lake Quassapaug (Middlebury),00210050,19662,4,"1,2,3,4",NA,QUS-1 Deepest part of lake in center,MIDDLEBURY,41.533623,-73.152379
Lake Terramuggus (Marlborough),00211388,18953,3,"1,2,4",NA,TERR-1 at deepest part of lake,MARLBOROUGH,41.63612,-72.46783
Lake Waramaug,00211809,18947,4,"1,2,3,4",State of CT - Car Top/Carry-In,LKW-1 deep part of lake in eastern lobe north of town boat launch,WASHINGTON,41.69186,-73.34863
Lake Zoar,00212322,16188,3,"1,2,3",State of CT - Trailered,deepest part near center of lake about south of Rte 84 crossing,NEWTOWN,41.387,-73.176
Linsley Pond,,15723,3,"1,2,4",NA,at Pond center - greatest depth,NORTH BRANFORD,41.3181,-72.7844
Long Pond,,19334,4,"1,2,3,4",State of CT - Trailered,deep hole,NORTH STONINGTON,41.44948,-71.94939
Mashapaug Pond,00208753,15085,3,"1,2,4",State of CT - Trailered,MP-1: at deepest point,UNION,42.0143,-72.132
Mount Tom Pond,00209096,18650,3,"1,2,4",State of CT - Car Top/Carry-In,"DH1, Deep hole",LITCHFIELD,41.70075,-73.2777
Pataganset Lake (East Lyme),00209639,18934,3,"1,2,4",State of CT - Trailered,"PAT-1, Deep Hole",EAST LYME,41.37493,-72.22935
Powers Lake,,16010,3,"1,2,4",State of CT - Trailered,approximately 1800 ft north dam (deep hole),EAST LYME,41.3925,-72.2503
Quonnipaug Lake,,19356,3,"1,2,4",State of CT - Trailered,deep hole,GUILFORD,41.39256,-72.69741
Rogers Lake,,19359,3,"1,2,4",State of CT - Trailered,deep hole,OLD LYME,41.36428,-72.30144
Roseland Lake,,16184,3,"1,2,4",NA,RL-1: Site Z NLA2007 and NLA2012 at deepest part of lake,WOODSTOCK,41.95,-71.951
Silver Lake,00210861,14527,3,"1,2,4",State of CT - Trailered,south northern island,BERLIN,41.5808,-72.7723
West Hill Pond,00211956,16165,4,"1,2,3,4",State of CT - Trailered,"Z Site, deepest part of lake, NLA",NEW HARTFORD,41.877022,-73.043053
Wononscopomuc Lake,00212226,16154,4,"1,2,3,4",NA,at deepest part of lake,SALISBURY,41.9553,-73.4448
